city,state-name,country-code
Birmingham, AL, US
Anchorage, AK, US
Phoenix, AZ, US
Little Rock, AR, US
Los Angeles, CA, US
Denver, CO, US
Hartford, CT, US
Dover, DE, US
Washington, DC, US
Miami, FL, US
Atlanta, GA, US
Honolulu, HI, US
Boise, ID, US
Chicago, IL, US
Indianapolis, IN, US
Des Moines, IA, US
Wichita, KS, US
Louisville, KY, US
New Orleans, LA, US
Portland, ME, US
Baltimore, MD, US
Boston, MA, US
Detroit, MI, US
Minneapolis, MN, US
Jackson, MS, US
Kansas City, MO, US
Billings, MT, US
Omaha, NE, US
Las Vegas, NV, US
Manchester, NH, US
Newark, NJ, US
Albuquerque, NM, US
New York, NY, US
Charlotte, NC, US
Fargo, ND, US
Columbus, OH, US
Oklahoma City, OK, US
Portland, OR, US
Philadelphia, PA, US
Providence, RI, US
Charleston, SC, US
Sioux Falls, SD, US
Nashville, TN, US
Houston, TX, US
Salt Lake City, UT, US
Burlington, VT, US
Richmond, VA, US
Seattle, WA, US
Charleston, WV, US
Milwaukee, WI, US
Cheyenne, WY, US

